Land,Loop,Loop Total Length,Loop Notes,Track No.,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],Unknown,"This exact loop is unverified, but is here as a placeholder for 1971-1976. This was a short reel composed of the album “Gay Nineties Waltzes” that was initially created for WDW’s 1971 opening. An anecdote from DL FLIGHT 295 offers that it definitely featured “Man on the Flying Trapeze,” which was removed from the 1976 loops. See Magic Music,https://community.magicmusic.net/threads/frontierland-loop-question.3677/#post-25773https://community.magicmusic.net/threads/frontierland-loop-question.3677/#post-25773 and Passport to Dreams blog, http://passport2dreams.blogspot.com/2013/06/the-original-main-street-music.html (2013). See the latter for links to digitally remastered versions. Again, this is very likely the WDW loop, but may not be the exact DL loop.",1,Strolling Through the Park — Mary,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,2,Bicycle Built For Two,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,3,Annie Rooney,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,4,In the Good Old Summer Time,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,5,Tammany Picnic,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,6,After the Ball,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,7,Sidewalks of New York,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,8,And the Band Played On,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,9,Horse Cars,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,10,Sweet Rosie O’Grady,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,11,School Days,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
Main Street U.S.A.,Main Street U.S.A. v.1 [PRE],,,12,Man on the Flying Trapeze,The Gaslight Orchestra,Gay Nineties Waltzes,,,,,Somerset,"January 1, 1971 → November 1, 1975",
