Area or Hotel,Loop,Loop Total Length,Loop Notes,Track Number,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disney's Paradise Pier Hotel,PCH Grill,1:00:03.546,,1,"Dance, Dance, Dance",The Beach Boys ,, 1:55.875,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,2,Surfin' Hootenanny,Al Casey ,, 2:03.336,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,3,Surf Blaster,The Vara-Tones ,, 3:00.217,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,4,Surfin' USA,The Beach Boys ,, 2:21.768,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,5,Penetration,The Pyramids ,, 1:59.510,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,6,Surf Rider,The Lively Ones ,, 2:21.357,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,7,Summer Means Fun,Bruce and Terry ,, 2:06.941,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,8,Surf Jam,The Beach Boys ,Surfin' USA, 1:28.600,"The loop track starts at around 3.304 of the album track to skip past the countdown vocal. The loop version of ""Surf Jam"" runs about 0.282 secs. slower than the CD version and after taking that into account, the loop version stops at around 1:31.621 of the album version.",,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,9,California Sun,The Rivieras ,, 2:21.466,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,10,Under the Sea,A*Teens ,Disneymania, 2:10.553,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,11,California Girls,The Beach Boys ,, 2:37.689,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,12,Beach Party,Annette Funicello ,, 1:44.417,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,13,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland ,, 2:18.784,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,14,Vacation,Connie Francis ,, 2:17.394,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,15,Surfer Girl,The Beach Boys ,, 2:20.405,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,16,Walking on Sunshine,Katrina and the Waves ,, 3:47.869,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,17,Wipe Out,The Surfaris ,, 2:35.178,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,18,Bahama Roller Coaster Ride,Baha Men ,Disneymania 4, 3:26.194,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,19,Surfin' Safari,The Beach Boys ,, 2:00.256,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,20,Pipeline,The Ventures ,, 2:53.133,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,21,Catch a Wave,The Beach Boys ,, 2:15.436,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,22,Perfidia,The Ventures ,, 2:00.366,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,23,King of the Surf Guitar [Vocal Version],Dick Dale and the Del-Tones ,, 2:01.534,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,24,Surf City,Jan and Dean ,, 2:23.794,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,25,All for One,High School Musical 2 ,, 3:31.667,"This seems to be a karaoke version of ""All for One"" but the Disney Karaoke Series CD for HSM2 does not have this track",,,,"December 15, 2000 → April 1, 2020",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),1:02:36.689,"Compiled by Pixelated (MouseBits; 2011) and Club 33 (Magic Music; 2011)
Starts with ~5.8 sec. silent gap
This loop can be heard in the area outside of and around Hearthstone Lounge, Storytellers Cafe, Napa Rose, White Water Snacks, the Fountain and Redwood Pools, Brisa Courtyard, and the entrance to the hotel from Downtown Disney.",1, A Mother's Heart,Craig Chaquico,Four Corners, 6:02.558,,7,,Higher Octave Music,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,2, Hotel California,Eagles,Hotel California, 0:52.168,Edited,1,,Asylum,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,3, Aloft,Sean Harkness,Aloft, 5:17.053,,3,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,4, Green Mountain Trail,Sean Harkness,Aloft, 3:45.656,,10,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,5, Waters of Eden,California Guitar Trio,Rocks the West, 4:26.496,,6,,Discipline Global Mobile,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,6, Climbing in Geometry,Will Ackerman,Ackerman: A Windham Hill Retrospective, 6:08.576,,9,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,7, Arroyo,California Guitar Trio,Pathways, 3:37.951,,2,,Discipline Global Mobile,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,8, Summer Solstice,Sean Harkness,Summer Solstice - A Windham Hill Collection, 3:56.743,"Identical to the track on the album “Aloft” ",1,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,9," Summer, from Vivaldi's ""The Four Seasons""",Tracy Silverman,Summer Solstice - A Windham Hill Collection, 2:59.729,,9,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,10, Companions,David Arkenstone,Summer Solstice - A Windham Hill Collection, 3:36.810,,12,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,11, The Warmth of the Sun/Surfer Girl,Philip Aaberg & Scott Mathews,Summer Solstice - A Windham Hill Collection, 3:44.362,,15,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,12, Just Dancin' Like Fools,Will Ackerman,Sun Dance: Summer Solstice - A Windham Hill Collection, 4:58.850,,5,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,13, I Will Walk With My Children,William Coulter,Sun Dance: Summer Solstice - A Windham Hill Collection, 3:24.745,,6,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,14, Don't Worry Baby,"Philip Aaberg, Paul McCandless, Michael Manring",Sun Dance: Summer Solstice - A Windham Hill Collection, 4:12.077,,11,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior courtyard),,,15, Driving,Will Ackerman,Sound of Wind Driven Rain, 5:32.913,,3,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),00:48:37.5,Compiled by RocketRodsXPR (MouseBits; 2014) and Club33 (Magic Music; 2011),1,"Serenade No. 10 in B-Flat Major, K. 361: IV. Menuetto: Allegretto",Lowell Graham & National Chamber Players,Serenade & Divertimenti,00:05:15.329,,,,Alliance,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,2,"Serenade No. 10 in B-Flat Major, K. 361: VI. Tema con variazioni
",Lowell Graham & National Chamber Players,Serenade & Divertimenti,00:09:20.963,,,,Alliance,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,3,"Divertimento in E-Flat Major, K. 166: I. Allegro",Lowell Graham & National Chamber Players,Serenade & Divertimenti,00:03:10.017,,,,Alliance,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,4,"Quartet for Flute, Violin, Viola and
  Cello in D major KV 285: Allegro",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:10:05.875,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,5,"Quartet for Flute, Violin, Viola and
  Cello in D major KV 285: Rondeau",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:04:36.525,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,6,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Allegro",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:01:50.866,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,7,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Larghetto",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:03:13.359,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,8,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Menuet- Trio",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:03:33.066,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,9,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Allegro",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:01:56.959,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,10,"Piano Quintet in E-Flat Major, K. 452: III. Allegretto",Stephen Hough & Berlin Philharmonic Wind Quintet,Mozart: Music for Piano and Wind Quartet,00:05:34.541,,,,BIS,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,00:47:43.101,This loop plays in the Grand Californian during the holiday season. See MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg36296#msg36296 (2009) and https://mousebits.com/smf/index.php?topic=4845.msg47829#msg47829 (2010).,1,"The Nutcracker Suite, Op. 71a: I. Overture Miniature",LA Guitar Quartet,Dances from Renaissance to Nutcracker, 2:52.484,,1,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,2,"The Nutcracker Suite, Op. 71a: II. March",LA Guitar Quartet,Dances from Renaissance to Nutcracker, 2:35.393,,2,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,3,"The Nutcracker Suite, Op. 71a: III. Dance of the Sugar-Plum Fairy",LA Guitar Quartet,Dances from Renaissance to Nutcracker,1:53.169,,3,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,4,"The Nutcracker Suite, Op. 71a: IV. Russian Dance",LA Guitar Quartet,Dances from Renaissance to Nutcracker,0:59.732,,4,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,5,"The Nutcracker Suite, Op. 71a: V. Arabian Dance",LA Guitar Quartet,Dances from Renaissance to Nutcracker,3:23.425,,5,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,6,"The Nutcracker Suite, Op. 71a: VI. Chinese Dance",LA Guitar Quartet,Dances from Renaissance to Nutcracker,0:58.954,,6,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,7,"The Nutcracker Suite, Op. 71a: VII. Dance of the Reed Pipes",LA Guitar Quartet,Dances from Renaissance to Nutcracker,2:24.262,,7,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,8,"The Nutcracker Suite, Op. 71a: VIII. Waltz of the Flowers",LA Guitar Quartet,Dances from Renaissance to Nutcracker,5:11.289,,8,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,9,Rudolph the Red-Nosed Reindeer,The Hampton String Quartet,HSQ Does Christmas (again),3:22.197,,5,,Mona Lisa Sound,,Christmas
